YEAR,rank,Country,INDICATOR,SEX,Score,global_score,score_totale
2015,1,SINGAPORE,PISAMATH,BOY,564.0,551.6666666666666,4965.0
2015,1,SINGAPORE,PISAMATH,GIRL,564.0,551.6666666666666,4965.0
2015,1,SINGAPORE,PISAMATH,TOT,564.0,551.6666666666666,4965.0
2015,1,SINGAPORE,PISAREAD,BOY,525.0,551.6666666666666,4965.0
2015,1,SINGAPORE,PISAREAD,GIRL,546.0,551.6666666666666,4965.0
2015,1,SINGAPORE,PISAREAD,TOT,535.0,551.6666666666666,4965.0
2015,1,SINGAPORE,PISASCIENCE,BOY,559.0,551.6666666666666,4965.0
2015,1,SINGAPORE,PISASCIENCE,GIRL,552.0,551.6666666666666,4965.0
2015,1,SINGAPORE,PISASCIENCE,TOT,556.0,551.6666666666666,4965.0
2015,2,HONG KONG,PISAMATH,TOT,548.0,532.7777777777778,4795.0
2015,2,HONG KONG,PISAMATH,BOY,549.0,532.7777777777778,4795.0
2015,2,HONG KONG,PISAMATH,GIRL,547.0,532.7777777777778,4795.0
2015,2,HONG KONG,PISAREAD,TOT,527.0,532.7777777777778,4795.0
2015,2,HONG KONG,PISAREAD,BOY,513.0,532.7777777777778,4795.0
2015,2,HONG KONG,PISAREAD,GIRL,541.0,532.7777777777778,4795.0
2015,2,HONG KONG,PISASCIENCE,TOT,523.0,532.7777777777778,4795.0
2015,2,HONG KONG,PISASCIENCE,BOY,523.0,532.7777777777778,4795.0
2015,2,HONG KONG,PISASCIENCE,GIRL,524.0,532.7777777777778,4795.0
2015,3,JAPAN,PISAMATH,BOY,539.0,528.7777777777778,4759.0
2015,3,JAPAN,PISAMATH,GIRL,525.0,528.7777777777778,4759.0
2015,3,JAPAN,PISAMATH,TOT,532.0,528.7777777777778,4759.0
2015,3,JAPAN,PISAREAD,BOY,509.0,528.7777777777778,4759.0
2015,3,JAPAN,PISAREAD,GIRL,523.0,528.7777777777778,4759.0
2015,3,JAPAN,PISAREAD,TOT,516.0,528.7777777777778,4759.0
2015,3,JAPAN,PISASCIENCE,BOY,545.0,528.7777777777778,4759.0
2015,3,JAPAN,PISASCIENCE,GIRL,532.0,528.7777777777778,4759.0
2015,3,JAPAN,PISASCIENCE,TOT,538.0,528.7777777777778,4759.0
2015,4,MACAU,PISAMATH,TOT,544.0,527.2222222222222,4745.0
